"","scores_adabag","scores_svm","scores_rf"
"726",0,0.5,0.5
"727",0.5,0.5,0.5
"728",1,1,1
"729",0.5,0.5,0.5
"730",1,1,1
"731",0.5,1,1
"732",1,1,1
"733",0.5,0.5,0.5
"734",0.5,0.5,0.5
"735",0.5,0.5,0.5
"736",0.5,0.5,0.5
"737",0.5,0.5,0.5
"738",1,1,1
"739",1,1,1
"740",0.5,0.5,0.5
"741",0.5,1,1
"742",0.5,0.5,0.5
"743",0.5,0.5,0.5
"744",0.5,0,0.5
"745",0.5,0.5,0.5
"746",1,1,1
"747",0.5,0.5,0.5
"748",0.5,0.5,0.5
"749",1,1,1
"750",1,1,1
"751",0.5,0.5,0.5
"752",0.5,0.5,1
"753",1,1,1
"754",0.5,0.5,0.5
"755",0.5,0.5,0.5
"756",0.5,0.5,0.5
"757",0.5,0.5,0.5
"758",1,1,1
"759",1,1,1
"760",0.5,0.5,0.5
"761",0.5,1,1
"762",0.5,0.5,0.5
"763",0.5,0.5,0.5
"764",1,1,1
"765",1,1,1
"766",0.5,0.5,0.5
"767",1,1,1
"768",1,1,1
"769",1,1,1
"770",1,1,1
"771",0.5,0.5,0.5
"772",1,1,1
"773",1,1,1
"774",0.5,0.5,0.5
"775",0.5,0.5,0.5
"776",0.5,0.5,0.5
"777",1,1,1
"778",0.5,0.5,0.5
"779",1,1,1
"780",0.5,1,1
"781",1,0.5,1
"782",0.5,1,1
"783",0.5,0.5,0.5
"784",1,1,1
"785",0.5,0.5,0.5
"786",0.5,0.5,0.5
"787",1,1,1
"788",0,0.5,0.5
"789",1,0.5,1
"790",1,1,1
"791",1,1,1
"792",1,1,1
"793",1,1,1
"794",1,1,1
"795",1,1,1
"796",0.5,1,1
"797",0.5,0.5,0.5
"798",0,0.5,0.5
"799",0.5,0.5,0.5
"800",0.5,0,0
"801",0.5,0.5,0.5
"802",0.5,0.5,0.5
"803",0.5,0.5,0.5
"804",0.5,1,1
"805",1,0.5,1
"806",1,1,1
"807",1,1,1
"808",0.5,0.5,0.5
"809",1,0.5,1
"810",0.5,0.5,0.5
"811",0,0.5,0.5
"812",1,0.5,1
"813",1,1,1
"814",1,1,1
"815",0.5,1,1
"816",1,1,1
"817",1,1,1
"818",0.5,0.5,0.5
"819",0.5,0.5,0.5
"820",0,0.5,0
"821",1,1,1
"822",1,1,1
"823",1,1,1
"824",0.5,0.5,0.5
"825",0.5,0.5,0.5
"826",0.5,1,1
"827",1,0.5,1
"828",0.5,1,1
"829",1,1,1
"830",0.5,0.5,0.5
"831",0.5,1,1
"832",0.5,0.5,0.5
"833",0.5,0.5,0.5
"834",0.5,0.5,0.5
"835",0.5,0.5,1
"836",1,1,1
"837",1,1,1
"838",1,1,1
"839",0.5,0.5,0.5
"840",0.5,0.5,0.5
"841",0.5,0.5,1
"842",0.5,1,1
"843",1,1,1
"844",0.5,0.5,1
"845",1,0.5,1
"846",0.5,1,1
"847",1,1,1
"848",1,1,1
"849",0.5,0.5,0.5
"850",0.5,0.5,0.5
"851",0,0.5,0
"852",0.5,1,1
"853",0.5,0.5,0.5
"854",0.5,0.5,1
"855",1,1,1
"856",1,1,1
"857",1,1,1
"858",0.5,0,0
"859",0.5,0.5,0.5
"860",0.5,0.5,0.5
"861",0.5,0.5,0.5
"862",0.5,0.5,0.5
"863",1,1,1
"864",0.5,0.5,0.5
"865",1,1,1
"866",0.5,0.5,0.5
"867",0.5,0.5,0.5
"868",1,1,0.5
"869",1,1,1
"870",1,1,1
"871",1,1,1
"872",0.5,1,1
"873",1,1,1
"874",0.5,0.5,0.5
"875",1,1,1
"876",1,1,1
"877",0.5,0.5,0.5
"878",0.5,0.5,0.5
"879",0.5,0.5,0.5
"880",0.5,0.5,0.5
"881",0.5,0.5,1
"882",0.5,0.5,0.5
"883",1,1,1
"884",1,1,1
"885",0.5,0.5,0.5
"886",0.5,0.5,0.5
"887",1,1,1
"888",0.5,0.5,0.5
"889",1,1,1
"890",0.5,1,1
"891",1,1,1
"892",0.5,0.5,0.5
"893",1,1,1
"894",1,0.5,0.5
"895",0.5,0.5,0.5
"896",0.5,0.5,0.5
"897",0.5,0.5,0.5
"898",0.5,0.5,0.5
"899",1,1,1
"900",0.5,0.5,0.5
"901",0.5,0.5,0.5
"902",1,1,1
"903",0.5,1,1
"904",0.5,0.5,0.5
"905",1,1,1
"906",0.5,0.5,0.5
"907",0.5,0.5,0.5
"908",1,1,1
"909",0.5,0,0.5
"910",0.5,0.5,0.5
"911",0.5,0.5,0.5
"912",1,1,1
"913",0.5,0.5,0.5
"914",0.5,0.5,0.5
"915",0.5,0.5,0.5
"916",1,1,1
"917",1,1,1
"918",1,1,1
"919",0.5,0.5,0.5
